,text,label
17,"@USER Tja, nu er jeg ikke DF'er og bliver det aldrig, MEN det er dybt problematisk at unge mænd tyranniserer en bydel/Brønshøj Torv, får drevet vognen væk efter massiv chikane, stenkast, kanonslag osv, fordi den serverer svinekød! At DF buger det som stunt er fordi ingen har ageret før",negative
18,Jeg er dybt bekymret!! #dkpol #dkhandicap [LINK],negative
19,"@USER At Venstre fotoshopper deres politik ved alle, men hvorfor også billederne af deres politikere? Er der intet ægte i det parti [LINK]",negative
20,"Nyopførte parcelhuse er i snit 86 % procent større end i
1957, mens stigningen for stuehuse ligger på 56 % siden 1964.
#dkbiz #dkbol #dkøko #dkcre @USER Kilde: @USER [LINK]",neutral
21,Kommer Riskær i Folketinget?,neutral
22,"@USER @USER @USER kommer til at hjælpe med at strømline og eksekvere Strategi 6.4. Og selvfølgelig skal vores presspil nuanceres og udvikles, men det kommer den nye træner til at stå for. Tror ikke vi kommer til at være så ultimative i presset, som under AZ, men mindre er også ok.",neutral
23,Jonas Kamper gør comeback i Randers FC - som sælger. #sldk [LINK],positive
24,"@USER @USER Det er helt fair game, hvis det er dine egne filer og man f.eks. baserer statistikken på server-logs, men at omskrive href=“[LINK]” til href=“/snooping-script?redirect=[LINK]” er over grænsen, synes jeg.",negative
25,Farum Lilleskole flytter ind hos FC Nordsjælland [LINK],positive
26,"@USER @USER @USER Godt nok er du bibliotrice, men nej det her kan jeg dokumentere 😜",neutral
27,"Det altså lidt vildt det her!

Schweizisk højrefløjspolitiker begrunder valgnederlag i at de “druknede i en grøn bølge”!

En “bølge” der opstod efter @USER’s tale i Davos.

Ringe i vandet folkens.
Noget er sgu i gære!

#GrøntValg
#dkpol #dkgreen
[LINK]",positive
28,"@USER @USER @USER Det er da et fantastisk initiativ.. Børnene får en bevidsthed om natur/miljø.. Vi får ryddet op.. Og mon ikke vores skoler bruger nogle undervisningstimer i denne uge, der relaterer til Natur/Miljø..?? Win-Win..👍👍 #dkpol..",positive
29,"Liverpool er selvsagt klasser bedre end Huddersfield, men Keita blir en kæmpe profil næste sæson. Sammen med Alex Oxlade-Chamberlain kan det blive en voldsom midtbane #pldk",positive
30,Tysk vækst og stærke afgrøder skal sikre DLG rekordår i 2019 [LINK],positive
31,"En oplysning, som vi ikke må overse! I sundhedsvæsenet skal vi behandle hinanden med respekt og ordentlighed. [LINK]",positive
32,"Leo Vegas, hvor en 42-årig kvinde forleden tabte en halv mio. kr. på et døgn, er i dag klar med endnu en ulovlig annonce leveret af [LINK] Det er utroligt, at danske politikere bliver ved med at tro, at bookmakerne regulerer sig selv #Utopia #dkpol [LINK]",negative
33,"Dansk Twitter diskuterer ofte emner, som jeg ikke har en mening om. Hverken Radio 24syv eller DKR satire. Ingen af delene siger mig alverden.

Måske er det et signal om, at jeg burde lytte mere til radio. Et radiosignal.",neutral
34,@USER @USER Nu er det jo sådan at respekt er noget man skal gøre sig fortjent til. Og det har himmelnisserne ikke gjort for mit vedkommende.,negative
35,"@USER Der er mange knuste æg, men ingen omelet!",negative
36,"#Asfaltaftalen får skarp kritik: 
""Den skal være meget mere grøn. Regeringen og Dansk Folkeparti vækker frustration i rød blok, hvor @USER glæder sig til at rulle aftalen tilbage efter et valg med muligt rødt flertal.""
Citat: Berlingske kun for abonnenter
#dkpol #dkmedier",negative
37,"Den foreløbige tidshorisont er, at ændringerne gælder til og med fredag d. 26/4.

Rejseplanen opdateres med ændringerne i løbet af onsdag formiddag. [LINK]",neutral
38,"Mere barsel bliver øremærket - vil ikke hænge sammen hos os, siger far [LINK] [LINK]",negative
39,"Det er imponerende, at Rojo kigger tilbage på Anderson to gange, inden Anderson helt udækket kan prikke bolden i mål. Lad mig gætte på at han ikke er på Old Trafford efter sommerpausen. #pldk",negative
40,"@USER @USER Mon ikke vi alle har vores små diagnoser, jeg tror mest af alt hans diagnoser er af de lette slags og at han mest af alt er ondskabsfuld.",negative
41,RT @USER: En AaB-legende siger stop #sldk [LINK],neutral
42,At der skal være plads til udemokratiske religiøse nazister foran landets parlament siger alt om den seneste generation af landsforræderiske politikere #dkpol #TagDanmarkTilbage #islam,negative
43,"@USER @USER @USER Det kunne være en super drøm, ingen tvivl om det.

Men vi skal vente noget tid før det sker da vi 100 procent kommer ind på stabilitet som stadigvæk halter lige pt. Dog er jeg overrasket over at der er ikke sket de helt store udsving fra det afsluttende CPH Games.",positive
44,"Endnu en gang må man spørge sig selv om, hvorfor denne type virksomhed ikke kan noteres i Danmark fremfor i Sverige. Jeg tror det er aktiesparekonto, kultur og manglende fokus på de spændende små virksomheder på den danske børs #iværksamf [LINK]",negative
45,"BREAKING NEWS!
Søren Espersen (DF), indrømmer, at Islam styrer og gir os hygge og dans. Han er rykket væk fra hans normale klamme, racistiske og dumme opslag mod Islam og indrømmer nu, at Islam også kan være dans og hygge.
Se, DET ville være BREAKING 😁😂

[LINK] [LINK]",negative
46,"@USER @USER @USER Godt med lidt staldtips til os, der aldrig nåede på GRIKU 😀",positive
47,To montenegrinske stjerner skifter til europæisk storklub - [LINK] [LINK],neutral
48,"@USER Netop min tanke. Kan det være en slags happening, der skal skabe opmærksomhed om misinformation på nettet før valgene?",neutral
49,"Hvordan sætter vi strøm til et grønnere Danmark? Få svar fra @USER @USER @USER @USER og @USER, når vi inviterer til valgdebat sammen med @USER d. 25. marts ➤ [LINK] #dkpol #dkgreen #dkenergi [LINK]",neutral
50,"@USER Skål, og fremragende navneskift",positive
51,"@USER ITunes er det in for iPhone?? Spørger sikkert dumt me hvordan anmelder jeg det med en Samsung?
For selvfølgelig skal i have 5 stjerner💛💙",positive
52,@USER @USER @USER Tænk du går så meget op i at støtte løgne men det siger jo mere om dig end lærerne og eleverne.,negative
53,"Det er helt ude i hampen, DF og regeringen har tilsyneladende ingen jordforbindelse mere. Udrejsecenteret, kan DF og regeringen kun holde sig selv ud tilsyneladende, da man vil oprette en lejer på en ø, som man så vil sørge for at der er så få afgange til som muligt det er sygt [LINK]",negative
54,Udsigt til nye besparelser i kommunens budget [LINK],neutral
55,"@USER Desværre, så kan de jo så nu bruge det som bevis på at kriminelle lømler sætter dagsordenen og blablabla. For dem er det en win win og det er samfundet der taber",negative
56,Turistdirektøren: Ærgerlig lukning [LINK],neutral
57,Hele vores flygtningesystem fra efter anden verdenskrig fungerer stadig. Vi har i FN netop opdateret i 2018 vedtaget migrationspagt. (Tak @USER #talop) [LINK] #epvalg19 #eudk #ep19dk #dkpol,neutral
58,"Alt for længe har homofobien fået lov at være en integreret del af sportsverdenen, med fodbold i spidsen. 

Det er forrykt når børn og unge lærer at homofobisk jargon hører hjemme på stadion, i klubben, på banen og i... [LINK]",negative
59,@USER @USER @USER @USER Jeg er ikke specielt uenig. Men to ting: Jeg vil ikke være med til at sætte lighedstegn ml. sexarbejdere og kvinder. Og vi behøver slet ikke diskutere om sexkøb lever af og re-producere undertrykkelse og ødelagte liv. Men jeg ser ikke et forbud som en løsning.,negative
60,"@USER @USER æh, hvor er de såkaldte ""højreradikale""?

Der er ikke én voldelig demonstration fra nogen højreradikale de seneste 25 år!? nævn en?

Det er en myte, vi har en ekstrem voldelig venstrefløj, som har taget side med islamisterne, og for dem er alle ""normale"" personer højreradikale",negative
61,Massiv kø efter uheld på Køge Bugt-motorvejen [LINK] [LINK],neutral
62,"@USER @USER Rødovre Centrum-Michael Jackson-strategien, som den hedder",negative
63,"@USER @USER @USER Har du mon tænkt på at der er mennesker der arbejder og har brug for biler, vi kan jo ikke allesammen leve af at dyrke grønsager i stuen for at få føden",negative
64,"#CentraliseringNejTak #DKPOL
Pinligt at lytte til VLAK+ DF
De har ikke styr på noget, ikke engang hvor mange ansatte der er i sundhedsvæsnet. Hvis man har udsultet regionerne i årevis, nu tilfører midler, som skal gå til nyt central Akut 113 og nyt IT system, virkelig borgernær",negative
65,"Krimiromaner omdannes til tv-serie med Helsingør som omdrejningspunkt, [LINK] [LINK]",neutral
66,"Sidder på Skt. Knuds gymnasium og overværer retorik-undervisning, der sidder en hel klasse, som ikke har lyst til at deltage i debatten på sociale medier, for “kampen er tabt på forhånd” “det er svært at være saglig, når andre ikke er”. “vi deltager kun i debatter for at få ret”",negative
67,"Begivenhedsrig første halvleg på både godt og ondt. Fodens scoring må varme enhver enhver Cityfans hjerte. Desværre måtte KdB humpe ud af banen med noget der ligner en forstrækning. 
#ManCitySpurs #pldk",positive
68,"Tersløse Kirke er blevet Vejkirke [LINK] Tersløse Kirke er blevet en såkaldt Vejkirke. Det indebærer, at kirken året rundt kan besøges af turister og alle interesserede på følgende dage: Tirsdag-onsdag-torsdag kl. 8-15.",neutral
69,DF vil forbyde skolegang hvis opholdstilladelsen ryger [LINK] [LINK],negative
70,"@USER fra @USER skriver #dkmedier @USER @USER @USER 
[LINK]",neutral
71,"Det kan være lidt småsvært at være socialdemokrat og finde et parti, der repræsenterer en i 2019's Danmark. Men det må da være komplet umulig at være liberal. #dkpol",negative
72,@USER Nu gør du et dumt meme politisk... I’m just here for the lolz :D,neutral
73,"@USER @USER Min pointe er, at EU ikke er en afsondret tredjepart. Det er et fællesskab, som Danmark indgår i.",neutral
74,Hvad skal dit forbund hedde? [LINK],neutral
75,"@USER Ytringsfriheden giver mig så også lov til at gå ind i en synagoge og skrige “heil Hitler”, eller at gå ind på Cosy bar og skrige “dø homosvin”. Men er det det der er meningen med ytringsfriheden?",negative
76,"Tv-værten Abdel Aziz Mahmoud har købt [LINK], [LINK] [LINK]",neutral
77,Mindst 20 aflyste afgange: Letbaneproblemer fortsætter torsdag [LINK],neutral
78,"Spar rejseforsikringen, det er trods alt kun meget få der rammes af sygdom og ulykker på ferien #dkpol #dkmedier [LINK]",neutral
79,"@USER @USER @USER Men det er jo problematisk, uansett om det er billedlig ment - det virker jo unektelig som barnet ikke har det så bra?
“She can see carbon dioxide with the naked eye. She sees how it flows out of chimneys and changes the atmosphere in a landfill.”",negative
80,"UDSOLGT TIL DERBY🔥 En dejlig nyhed, som vi er glade og stolte over at kunne præsentere. Men vi ved erfaringsmæssigt, at der kan komme et antal billetter retur, så skriv dig på DERBY-ventelisten, hvis du vil have muligheden #fcklive #fckbif [LINK] [LINK]",positive
81,"@USER Jeg er muligvis sent ude, men. Hvordan gik/går valget?",positive
82,"Jeg kan huske, da en Justitsminister blev stillet for en rigsret.
Borgerlig sankesæt er 
""Det er smart at snyde, det er rigtigt dumt at blive opdaget."" LOV og RET gælder for borgerne, ikke borgerlige politikere.
Et borgerligt væsen er i sin grundvold uhæderligt. [LINK]",negative
83,"@USER @USER @USER Tror du, jeg er åndsvag? Den der borgerliggørelse af det yderste højre, er alt for gennemskuelig og enormt trættende. Jeg hopper fra her, og fokuserer på kærligheden. Du skulle prøve dét.",negative
84,Når man skal beskrive ungdommen for morfar [LINK] [LINK],neutral
85,"@USER Og hvad synes du så, Søren, om måden Bager fik de 100.000 på?",negative
86,"I påsken er jeg på sidelinien her…
Tors #fckfcm
Fre #obfcn
Søn ViborgFF vs Næstved
Søn #vbagf
Man #rfcaab
Man #fcmbif
#sldk #NordicBetLigaen [LINK]",neutral
87,"@USER @USER @USER Intet ondt herfra 😊 Det er muligt, at du har ret. Jeg har bare ikke kunnet finde den definition, men jeg har heller ikke brugt old school ordbøger. Jeg formoder ikke, at mange dyr ud over mennesket parrer sig med andet formål end reproduktion. Jeg har heller ikke hørt ...",positive
88,Opkøb trækker Royal Unibrew op i første kvartal [LINK],positive
89,RT @USER: Fedt at så mange unge mener at der skal gøres mere for klimaet #dkpol #eupol [LINK],positive
90,Kronik: Holocaust: Vi har alle et ansvar for ikke at glemme [LINK] [LINK],neutral
91,"@USER Jaa, det glæder jeg mig også til! Det er en luksus at have så gode folk omkring sig 👏",positive
92,@USER @USER @USER @USER @USER Tydelig at fakta ikke betyr noe for ham og tilhengerne. Det er jo bare trist og en smule skremmende.,negative
93,Teknologisk Institut: Nye vejledninger skal rådgive om altaner #altaner #dkbyg [LINK],neutral
94,"Det er så synd for Ajax, at det her hold nok bliver splittet fra hinanden",negative
95,"Som etnisk dansk af udseende, mellem 30 og 40 år gammel og 170-180 centimeter høj vil jeg gerne tage afstand fra det her, selvom min slags ikke behøver den slags. Fy for fanden! Så er det jeres tur, #dkpol [LINK]",negative
96,"Kære larsclilleholt 
 Vidste du at klimaforandringerne får verdenshavene til at stige, og det vil skabe dobbelt så mange oversvømmelser om blot få årtier, viser nyt studie. Specielt København kan stå for skud! 
Hvad vil du gøre ved det? #dkpol",negative
97,@USER @USER @USER For mig var det Google Ads på diverse mediers sider,neutral
98,@USER En del påstår dog at det er fake... manden har ex ikke Benfica-trøje på og det er en ret ny profil,neutral
99,"0-1 AaB-Vejle Boldklub! '6: Mål af Gustaf Nilsson, Vejle Boldklub",positive
100,"@USER Hvis du har 5 DBs på banen, skal dine LBs stadig gøre rigtigt meget i kastespillet, da NFL-angrebene strækker på alle leder og kanter, og TEs og RBs er super atletiske. Nickel har været det nye base i flere år, og dårlige LBs i opdækningen har kostet dyrt de sidste par år",neutral
101,Der har været er færdelsuheld på E20-motorvejen mellem Skærup og Fredericia i østgående retning. #politidk [LINK] [LINK],neutral
102,Der er stillet mere end 300 borgerforslag det første år af ordningens levetid. 5 forslag har fået mere end 50.000 underskrifter. Tæt på 800.000 har støttet de forskellige forslag. Over 3 millioner har besøgt [LINK] Succes? #dkpol @USER @USER,neutral
103,"@USER Ja, hvis bare han var det, så ville meget være godt. Det er han bare ikke. Han er stærkt manipulerende og meget biased.",negative
104,"Det er et virkelig interessant skridt, Danske Bank-koncernen har taget her. De tager det officielle danske eksportforbud mod militært udstyr til Saudi-Arabien og bruger det på alle deres investeringer i verden #dkpol [LINK]",negative
105,"@USER @USER Det kan jo slet ikke forslå. Men den regnemetode som Finansministeriet benytter skal du forvente at der skal forhøjes med yderligere kr. 225.000 oven i det som den enkelte skal have.
Det bliver megadyret og er vel grunden til at V ikke har fremlagt noget. #dkpol",negative
106,Et stort tillykke til @USER og vinderne af årets Cavlingpris 💪🏼 [LINK],positive
107,@USER Til dig eller hunden?,neutral
108,"Regeringens udkast til Havstrategi II efterlader det indtryk, at havet blot skal være til menneskets udnyttelse. Det skriver DF’s @USER #dkpol #dkgreen [LINK]",negative
109,"Det her er to meget kloge mennesker. Mest fordi de tør indrømme, at de har flere tanker og spørgsmål end svar. Og derfor var det en fornøjelse at lytte til dem den sidste time hos @USER. Og Mette er også ret god... #IWD2019 [LINK]",positive
110,"@USER @USER @USER Ret din kritik mod Niko Grünfeld og de andre. Det er dem, der taler om syg kultur i @USER DINE personlige angreb er ikke værdige for den nye politiske kultur, som @USER ønsker sig.",negative
111,"Blev EF Education First-trikoten lidt flottere i dag, efter Alberto Bettiol vandt Flandern? Det tror jeg faktisk. [LINK]",positive
112,"@USER (2) Men der er et paradoksproblem her, der udstiller hvor inkonsekvent vores lovgivning er:
Hash er ikke særlig fysisk skadeligt - men folk får alligevel KOL og kræft af det.
Hvorfor? Fordi de blander det ulovlige stof med et lovligt stof: tobak.
Som er livsfarligt.
""Logik""?",negative
113,Oceaniske og australske mesterskaber i strandhåndbold er i gang - [LINK] [LINK],neutral
114,@USER Der røg den fredag aften :-) tak,positive
115,"Føler mig langt fra fattig, venstreorienteret JA. Nogle må 
forsvare samfundets svageste når VLAK har valgt at nedgøre/ydmyge
dårligst stillede med fattighjælps ydelser ! ""Elitens kloak""?
Når det regner med overflod i whisky bæltet får jeg råd til en ekstra øl
@USER",negative
117,"@USER kan i ikke droppe den forespørgsel efter lokation når man går ind på jeres side? Det crasher min Firefox på android.
Lav i stedet en knap, for dem der ikke ved hvor de er.",negative
118,@USER Kunne heller ikke forestille mig andet 😊,positive
119,"Ikke en krone i udsigt: Danmark op i #5G eliten - men i ny handlingsplan fra @USER er der ikke afsat penge til fremme af nye løsninger. Det er problematisk, siger digitaliseringspolitisk chef i @USER @USER @USER #digidk #dkbiz [LINK]",negative
120,"@USER @USER @USER Jeg har heller ikke set så meget af det, men min fornemmelse for det, jeg følger af NHL er, at han holder Maple Leafs inde i serien",positive
121,@USER Har været der.,neutral
122,"@USER @USER @USER @USER @USER Den seneste stigning i indkomstskatten blev foretaget af en venstre-ledet regering, der var gået til valg på at sænke den. Måske skræmmer det de radikale fra at love for meget?",neutral
123,Terror i Sri Lanka | Fejl i danske pas | Borgmester befamlet [LINK] [LINK],neutral
124,"@USER 

Jeg håber det er ventetiden værd. (Y)

God weekend.

Vh/ Michael",positive
125,Flere lyskryds ude af drift [LINK],neutral
126,"Really? [LINK] - det bliver sgu sværere og sværere at overbevise min bedre halvdel om at at Danmark overhovedet ønsker at man skal integrere sig. Jeg fattes ord. Gad vide om @USER @USER vil støtte det?

#dkpol #pakker #snart #sydfrugter",negative
127,"@USER Ok, vi husker lidt forskelligt, men essensen er jo den samme.",neutral
128,"@USER @USER @USER @USER Da vi fik ham tilbudt sidste år til 7mil (mener jeg det var) det er jo ingenting for en målmand med hans kvaliteter.. det koster at blive mestre..! Min holdning er bare, klasse keeper..!",positive
129,@USER @USER Man diskuterer ikke med formanden. Overhovedet!,neutral
130,"Som én, der er vokset op med aftensmad klokken 18:00 sharp i provinsen og senere har boet i Spanien, bakker jeg fuldt op om Gareth Bales vurdering i denne sag.

[LINK] [LINK]",positive
131,@USER @USER @USER Om noget er en krise eller ej kan ikke afgøres faktuelt,neutral
132,Svær erkendelse: Jeg har nu brugt mindst 100 timer på at forsøge at gætte valgdatoen,negative
133,@USER Der er så mange flere grunde til at #ståafiroskilde frem for Høje-Tå #sigerdetbare,neutral
135,Dansk Folkeparti er klar til at give togbroen dødsstødet #vaf [LINK],negative
136,"@USER @USER Det har OGSÅ været en stor dag for tossen, når I lige pludselig tager ord som krig op af hatten og giver ham fuldplade-dækning. [LINK]",negative
137,Vigtig melding fra S. Og med DFs udtalelser i sidste uge burde der nu være flertal for at afskaffe besparelserne ved næste finanslov #Stop2pctNU [LINK],neutral
138,"RT @USER: GOL EN 3ª
del @USER B, el central Martín pone el 0-2 en @USER a los 18'

#elMATlargo",negative
139,"Bach Bak synes, at det er flot, at man har holdt fast i det nye koncept i Sønderjyske #fcmsje #sldk [LINK]",positive
140,"Boligforening: Der er rift om de nye boliger [LINK] Boligforeningen Dianalund regner ikke med, at det bliver noget problem at få udlejet de 27 almennyttige boliger, der fredag formiddag blev taget første spadestik til. Tværtimod. Det skriver Dagbladet …",positive
141,"⚽️ Der er i dag 22 #fodbold kampe/events mere, der vises direkte:

📺 4 på TV
💻 9 kun på @USER
💻 5 på @USER
💻 4 via Live Stream

#dksport #dkbold #sldk #pldk #laliga #seriea

🔗 [LINK] [LINK]",neutral
142,"Første krise hos lufthavns-korrespondenten her i Istanbuls nye lufthavn: Jeg eksisterer ikke. 
Lover at opdatere, hvordan dramaet ender inden længe. [LINK]",neutral
143,Så er der #klimakryds! Rigtig god valgkamp #dkgreen #dkpol #fv19 [LINK] [LINK],positive
145,18 danskere smittet af sjælden mave-tarminfektion [LINK] [LINK],neutral
146,"@USER @USER @USER det er ikke glemt i den danske folkeskole. En de eneste overlevende danskere fra Auschwitz er 90-årige Arlette Andersen hun har holdt mere end 400 foredrag for især unge
[LINK]",positive
147,"Meningsmålinger, rammer de inden for deres statistiske usikkerhed - og hvad betyder det overhovedet? Læs med i første del: #dkpol #fv19
[LINK] [LINK]",neutral
148,@USER Jeg vil gerne bruge udtrykket skrupskøre mennesker. Folk er jo blevet sindsyge af alt det farve snak. Brug nu bare den sunde fornuft!,negative
149,"@USER @USER @USER @USER Jo tak. Jeg klarer mig nok. Er rimelig langt. Tror ikke du er interesseret i at lytte til eller forstå, hvad jeg reelt spurgte om, men dig om det.",negative
150,På vej til Holstebro #samtaledag #Fremad #radikale #mereHanne [LINK],neutral
151,"@USER har tabt sutten - det er jo pinligt, det her: “V-ministre indkaldte til pressemøde for at kritisere Socialdemokratiet”

[LINK]",negative
152,"@USER @USER Jeg er ikke særlig pessimistisk, fordi jeg tror vi taber. Det er mest fordi jeg tror at Damen ikke spiller. Hvis hele holdet er klar, så er jeg rimelig sikker på, at vi munker dem.
Men det sidder også bare i baghovedet, at vi kan blive de store tabere, hvis vi smider point. (1/2)",neutral
153,"@USER Jeg ser på en udtalelse fra i går; deres spil Vampyr har solgt over 1 mil, samt deres publisher Focus Home Interactive har fornyet en kontrakt med DONTNOD. Det ser ud til, at selskabet er ved at skabe lidt momentum",positive
154,"Hvor kunne det være fedt. Hvis #dkmedier ikke udråbte alle møder mellem politikere som dueller. Hvorfor ikke sige ""En samtale mellem..."" det vil sgu styrke lysten til at se med. #dkpol",negative
155,"7 ud af 9 danske nyhedsmedier har mere end dobbelt så mange negative som positive Facebook-opdateringer om #MeToo. Det skader debatten, skriver lektor @USER fra @USER på @USER [LINK] #dkmedier #dkvid [LINK]",neutral
156,"⛹ Der er i dag følgende antal #basketball kampe, der vises direkte:

📺 2 på TV
💻 0 via Live Stream
#TV #dksport #dkbold #nbadk #nba

🔗 [LINK]",neutral
157,"@USER @USER @USER Det selvfølgelig en anden side.. Der kører jeg ikke nok med dem til at kunne udtale mig. Det må dog uden lige, stadigt være et overkommeligt problem at kunne løse.. Hvis viljen er der fra DSB..",neutral
158,"@USER @USER @USER T.e. ved at læse tweets og svar som dine med fascistiske og racistiske undertoner. Og den undren det giver når danskere, som ellers virker til at være veluddannede og intelligente, kan få så menneskefjendske holdninger. Det er ikke mit Danmark mere. Lev vel.",negative
159,"Blev gravid og aflyste i 2018: Nu vender rapper tilbage som hovednavn på Roskilde Festival, [LINK] [LINK]",neutral
160,Forårselskov i isbjørneanlægget – men ungen venter ikke lige om hjørnet [LINK] [LINK],neutral
161,@USER @USER Nogle gange er du voldsomt trættende ...,negative
162,"Som jeg forstår det, er der vist kun en ting, Socialdemokratiet ikke vil sammen med andre. Nemlig at danne regering. #dkpol",negative
163,RT @USER: @USER Enig! Straffesparket til Man. U var absolut håbløst!,negative
164,"Der sker ikke så meget med en ny telefon, som der har gjort. At flytte fra den model, vi har nu til den nyeste, giver os ikke lige så meget, så vi kan ligeså godt beholde de gamle, fortæller @USER i @USER som én af flere forklaringer på Apples nedtur. [LINK]",neutral
165,"Søndag den 26. maj er der valg til Europa-Parlamentet. Men hvis det passer dig bedst at stemme inden selve valgdagen, kan du stemme allerede nu. Læs mere her: 
[LINK]

#Dennegangstemmerjeg 
#EUvalg2019",neutral
166,"@USER @USER @USER ""Det var en skandale, at han sparkede på mål. Det giver jeg absolut intet for, og det var på ingen måde i orden"" - Her nedlægger han jo en præmis, som han han reelt set ikke ved noget om. Det er da mangel på format.",negative
167,"🎧 🇲🇦🇩🇰Ny podcast: Danmarks ambassadør i Marokko, Nikolaj Harris, fortæller om Marokkos aktive udenrigs- og sikkerhedspolitik og om landets altoverskyggende prioritet - nemlig kontrollen over det omstridte område, Vestsahara #dkpol #podcastdk #dkmedier 👉
[LINK] [LINK]",neutral
168,"Er der nogen der har fortalt #dkpol at årets pressefoto de knap så dygtige jounos på DR reklamerede for var fake, DR burde måske prøve FACT tjekking [LINK]",negative
169,"@USER @USER Ja, mit tweet var ironisk. Men ikke så vellykket, kan jeg se 😏",positive
170,@USER @USER @USER @USER Ha - det kommer der af at flytte dele af red. til Jylland. Hvem var det nu der var bannerfører her? Spørger bare.,negative
171,@USER @USER Det ser spændende ud! Men for en god ordens skyld: Det er @USER og @USER der holder konferencen. Vi er bare skriverkarle :-),positive
172,"@USER @USER @USER @USER @USER Men hvis Løkke ikke kan forestille sig han kommer ind, så er spørgsmålet jo totalt ligemeget? 
Jeg nægter at tro på, at den syge syge mand får over 5000 stemmer. Det sker ikke.",negative
173,"“Balancen mellem frihandelsesblokkene og de mere protektionistiske i Europa-Parlamentet vil rykke sig. De kræfter, der vil frihandel, vil blive svækket og den europæiske integration bremset,” siger Rasmus Brun Pedersen fra @USER til P1radio #dkmedier",neutral
174,"@USER @USER @USER @USER @USER @USER Cigaretter købt i udlandet uden afgifter, og solgt af bander i DK.
Markedet bliver stort og alle der køber vil synes at afgifter er forkert.
Kriminalisering har alle dage været dårligt for borgerne i den sidste ende.
Kampagner er langt bedre.
#dkpol",negative
175,Regeringen har nu skåret 6.215.594.739 DKK på uddannelse siden 2015. Det svarer til 9 millioner kroner om dagen! Følg nedskæringerne live på [LINK] #dkpol #uddpol #fv19 #Stop2pctNU,negative
176,"@USER @USER Virkelig godt tænkt, hvis hvide løgne endelig skulle være ok, så må det være sådan. I en tættere relation er det no-go.",positive
177,"På tide, at forbrugerrådet , finansrådet eller bare nogen gør noget ved dette fænomen. Trygs koncept er fuldstændig sindssygt: Hvis min... [LINK]",negative
178,@USER Min kæreste synes det smager godt 🤮🤮🤮,negative
179,"@USER Jeg siger ikke, jeg havde ret! Jeg siger bare... jeg havde ret.",neutral
180,Er det så gratis?!?! [LINK],negative
