,Unnamed: 0,language,score,text,label,tweet_len,original_tweet,new_topic,probabilities
10,10,da,0.9999934766359656,skal du med ud og samle affald på søndag der er mere end tusind lokale indsamlinger tilmeldt den store affaldsindsamling på søndag find en indsamling nær dig og blive affaldshelt for en dag dkgreen trashtag affaldsindsamlingen,positive,38,"Skal du med ud og samle affald på søndag? ♻️🥫🚬
Der er mere end tusind lokale indsamlinger tilmeldt den store affaldsindsamling på søndag. Find en indsamling nær dig og blive affaldshelt for en dag 👉 #dkgreen #TrashTag #affaldsindsamlingen",0,0.3495142256525598
11,11,da,0.99999526248355,nu er det op til may regeringen selv at vælge enten den ansvarlige kurs som eu har skitseret eller at fortsætte kursen mod hard brexit professor derek beach may insisterer på at føre storbritannien mod afgrunden abon dkpol eudk,negative,39,"""Nu er det op til May-regeringen selv at vælge enten den ansvarlige kurs, som EU har skitseret – eller at fortsætte kursen mod Hard Brexit""

Professor Derek Beach: May insisterer på at føre Storbritannien mod afgrunden (abon): #dkpol #eudk",4,0.19451459042954197
12,12,da,0.999995059112471,eller fordi det er godt at se hvor dårligt livet var før i tiden de gode gamle dage findes ikke,negative,20,Eller fordi det er godt at se hvor dårligt livet var før i tiden. De gode gamle dage findes ikke,0,0.9563365700918123
13,13,da,0.9999953691913804,legekæden hvis ikke folk bruger os så kan det være os der må lukke næste gang dette er en plus artikel,negative,20,"Legekæden: Hvis ikke folk bruger os, så kan det være os, der må lukke næste gang (Dette er en plus-artikel)",-1,0.2234467229990819
14,14,da,0.9999958308061212,tilskuer boom i superligaen fck spurter frem brøndby fcklive agf fcm aab,positive,11,Tilskuer-boom i Superligaen: FCK spurter frem #brøndby #fcklive #agf #fcm #aab,3,0.4488432947395401
15,15,da,0.9999948548011712,gange kaptain arbejder i samme virksomhed,neutral,7,4 gange Kaptain arbejder i samme virksomhed,0,0.5929936290470165
16,16,da,0.9999924524002644,det er lige med at holde på hat og briller det bliver en dag fyldt med blæst,neutral,18,Det er lige med at holde på hat og briller. Det bliver en dag fyldt med blæst 🌬🌬,0,0.31151558040529864
17,17,da,0.999992816853582,tja nu er jeg ikke df er og bliver det aldrig men det er dybt problematisk at unge mænd tyranniserer en bydel brønshøj torv får drevet vognen væk efter massiv chikane stenkast kanonslag osv fordi den serverer svinekød at df buger det som stunt er fordi ingen har ageret før,negative,48,"Tja, nu er jeg ikke DF'er og bliver det aldrig, MEN det er dybt problematisk at unge mænd tyranniserer en bydel/Brønshøj Torv, får drevet vognen væk efter massiv chikane, stenkast, kanonslag osv, fordi den serverer svinekød! At DF buger det som stunt er fordi ingen har ageret før",-1,0.15570335029095686
18,18,da,0.999993749789575,jeg er dybt bekymret dkpol dkhandicap,negative,6,Jeg er dybt bekymret!! #dkpol #dkhandicap,9,1.0
19,19,da,0.9999959879018884,at venstre fotoshopper deres politik ved alle men hvorfor også billederne af deres politikere er der intet ægte i det parti,negative,21,"At Venstre fotoshopper deres politik ved alle, men hvorfor også billederne af deres politikere? Er der intet ægte i det parti",1,1.0
20,20,da,0.9999937981046269,nyopførte parcelhuse er i snit procent større end i mens stigningen for stuehuse ligger på siden dkbiz dkbol dkøko dkcre kilde,neutral,27,"Nyopførte parcelhuse er i snit 86 % procent større end i
1957, mens stigningen for stuehuse ligger på 56 % siden 1964.
#dkbiz #dkbol #dkøko #dkcre Kilde:",2,0.3214668559112835
21,21,da,0.9999923783335,kommer riskær i folketinget,neutral,4,Kommer Riskær i Folketinget?,1,0.412979094384008
22,22,da,0.9999948916906318,kommer til at hjælpe med at strømline og eksekvere strategi og selvfølgelig skal vores presspil nuanceres og udvikles men det kommer den nye træner til at stå for tror ikke vi kommer til at være så ultimative i presset som under az men mindre er også ok,neutral,48,"kommer til at hjælpe med at strømline og eksekvere Strategi 6.4. Og selvfølgelig skal vores presspil nuanceres og udvikles, men det kommer den nye træner til at stå for. Tror ikke vi kommer til at være så ultimative i presset, som under AZ, men mindre er også ok.",0,0.3029309597203999
23,23,da,0.9999961612529664,jonas kamper gør comeback i randers fc som sælger sldk,positive,11,Jonas Kamper gør comeback i Randers FC - som sælger. #sldk,3,0.3982800506923293
24,24,da,0.9999948398096856,det er helt fair game hvis det er dine egne filer og man f eks baserer statistikken på server logs men at omskrive href til href snooping script redirect er over grænsen synes jeg,negative,29,"Det er helt fair game, hvis det er dine egne filer og man f.eks. baserer statistikken på server-logs, men at omskrive href=“[LINK]” til href=“/snooping-script?redirect=[LINK]” er over grænsen, synes jeg.",-1,0.21989567200542534
25,25,da,0.9999954081983404,farum lilleskole flytter ind hos fc nordsjælland,positive,7,Farum Lilleskole flytter ind hos FC Nordsjælland,-1,0.1909398514327947
26,26,da,0.7164836731598342,godt nok er du bibliotrice men nej det her kan jeg dokumentere,neutral,13,"Godt nok er du bibliotrice, men nej det her kan jeg dokumentere 😜",0,0.406200191053248
27,27,da,0.9999939410506724,det altså lidt vildt det her schweizisk højrefløjspolitiker begrunder valgnederlag i at de druknede i en grøn bølge en bølge der opstod efter tale i davos ringe i vandet folkens noget er sgu i gære grøntvalg dkpol dkgreen,positive,40,"Det altså lidt vildt det her!

Schweizisk højrefløjspolitiker begrunder valgnederlag i at de “druknede i en grøn bølge”!

En “bølge” der opstod efter @USER’s tale i Davos.

Ringe i vandet folkens.
Noget er sgu i gære!

#GrøntValg
#dkpol #dkgreen
[LINK]",1,0.6426172125543548
28,28,da,0.9999934028511182,det er da et fantastisk initiativ børnene får en bevidsthed om natur miljø vi får ryddet op og mon ikke vores skoler bruger nogle undervisningstimer i denne uge der relaterer til natur miljø win win dkpol,positive,33,"Det er da et fantastisk initiativ.. Børnene får en bevidsthed om natur/miljø.. Vi får ryddet op.. Og mon ikke vores skoler bruger nogle undervisningstimer i denne uge, der relaterer til Natur/Miljø..?? Win-Win..👍👍 #dkpol..",-1,0.20980059668460008
29,29,da,0.9999935632943224,liverpool er selvsagt klasser bedre end huddersfield men keita blir en kæmpe profil næste sæson sammen med alex oxlade chamberlain kan det blive en voldsom midtbane pldk,positive,26,"Liverpool er selvsagt klasser bedre end Huddersfield, men Keita blir en kæmpe profil næste sæson. Sammen med Alex Oxlade-Chamberlain kan det blive en voldsom midtbane #pldk",3,1.0
30,30,da,0.999996484451426,tysk vækst og stærke afgrøder skal sikre dlg rekordår i,positive,11,Tysk vækst og stærke afgrøder skal sikre DLG rekordår i 2019,2,1.0
31,31,da,0.999993996113126,en oplysning som vi ikke må overse i sundhedsvæsenet skal vi behandle hinanden med respekt og ordentlighed,positive,17,"En oplysning, som vi ikke må overse! I sundhedsvæsenet skal vi behandle hinanden med respekt og ordentlighed.",8,0.6231973019849967
32,32,da,0.9999959676521274,leo vegas hvor en årig kvinde forleden tabte en halv mio kr på et døgn er i dag klar med endnu en ulovlig annonce leveret af det er utroligt at danske politikere bliver ved med at tro at bookmakerne regulerer sig selv utopia dkpol,negative,44,"Leo Vegas, hvor en 42-årig kvinde forleden tabte en halv mio. kr. på et døgn, er i dag klar med endnu en ulovlig annonce leveret af Det er utroligt, at danske politikere bliver ved med at tro, at bookmakerne regulerer sig selv #Utopia #dkpol",2,0.41519192623183204
33,33,da,0.9999953547501332,dansk twitter diskuterer ofte emner som jeg ikke har en mening om hverken radio syv eller dkr satire ingen af delene siger mig alverden måske er det et signal om at jeg burde lytte mere til radio et radiosignal,neutral,39,"Dansk Twitter diskuterer ofte emner, som jeg ikke har en mening om. Hverken Radio 24syv eller DKR satire. Ingen af delene siger mig alverden.

Måske er det et signal om, at jeg burde lytte mere til radio. Et radiosignal.",2,0.3054489824166595
34,34,no,0.5686553617006928,nu er det jo sådan at respekt er noget man skal gøre sig fortjent til og det har himmelnisserne ikke gjort for mit vedkommende,negative,24,Nu er det jo sådan at respekt er noget man skal gøre sig fortjent til. Og det har himmelnisserne ikke gjort for mit vedkommende.,-1,0.2592947417128309
35,35,da,0.9999970221745924,der er mange knuste æg men ingen omelet,negative,8,"Der er mange knuste æg, men ingen omelet!",0,0.3941284520287781
36,36,da,0.999994875205702,asfaltaftalen får skarp kritik den skal være meget mere grøn regeringen og dansk folkeparti vækker frustration i rød blok hvor glæder sig til at rulle aftalen tilbage efter et valg med muligt rødt flertal citat berlingske kun for abonnenter dkpol dkmedier,negative,41,"#Asfaltaftalen får skarp kritik: 
""Den skal være meget mere grøn. Regeringen og Dansk Folkeparti vækker frustration i rød blok, hvor glæder sig til at rulle aftalen tilbage efter et valg med muligt rødt flertal.""
Citat: Berlingske kun for abonnenter
#dkpol #dkmedier",-1,0.13403743522744352
37,37,da,0.9999962177752172,den foreløbige tidshorisont er at ændringerne gælder til og med fredag d rejseplanen opdateres med ændringerne i løbet af onsdag formiddag,neutral,22,"Den foreløbige tidshorisont er, at ændringerne gælder til og med fredag d. 26/4.

Rejseplanen opdateres med ændringerne i løbet af onsdag formiddag.",-1,0.17815449620607754
38,38,da,0.9999939599402774,mere barsel bliver øremærket vil ikke hænge sammen hos os siger far,negative,13,"Mere barsel bliver øremærket - vil ikke hænge sammen hos os, siger far",0,0.54860076094768
39,39,da,0.9999950119737478,det er imponerende at rojo kigger tilbage på anderson to gange inden anderson helt udækket kan prikke bolden i mål lad mig gætte på at han ikke er på old trafford efter sommerpausen pldk,negative,34,"Det er imponerende, at Rojo kigger tilbage på Anderson to gange, inden Anderson helt udækket kan prikke bolden i mål. Lad mig gætte på at han ikke er på Old Trafford efter sommerpausen. #pldk",0,0.2659255747026716
40,40,da,0.999995064868216,mon ikke vi alle har vores små diagnoser jeg tror mest af alt hans diagnoser er af de lette slags og at han mest af alt er ondskabsfuld,negative,28,"Mon ikke vi alle har vores små diagnoser, jeg tror mest af alt hans diagnoser er af de lette slags og at han mest af alt er ondskabsfuld.",0,0.20733492716752305
41,41,da,0.9999950488648912,en aab legende siger stop sldk,neutral,7,RT @USER: En AaB-legende siger stop #sldk,0,0.7670037376650898
42,42,da,0.9999958688656466,at der skal være plads til udemokratiske religiøse nazister foran landets parlament siger alt om den seneste generation af landsforræderiske politikere dkpol tagdanmarktilbage islam,negative,24,At der skal være plads til udemokratiske religiøse nazister foran landets parlament siger alt om den seneste generation af landsforræderiske politikere #dkpol #TagDanmarkTilbage #islam,-1,0.09696896611511385
43,43,da,0.862330580631714,det kunne være en super drøm ingen tvivl om det men vi skal vente noget tid før det sker da vi procent kommer ind på stabilitet som stadigvæk halter lige pt dog er jeg overrasket over at der er ikke sket de helt store udsving fra det afsluttende cph games,positive,51,"Det kunne være en super drøm, ingen tvivl om det.

Men vi skal vente noget tid før det sker da vi 100 procent kommer ind på stabilitet som stadigvæk halter lige pt. Dog er jeg overrasket over at der er ikke sket de helt store udsving fra det afsluttende CPH Games.",-1,0.24203569098218464
44,44,da,0.9999953977418392,endnu en gang må man spørge sig selv om hvorfor denne type virksomhed ikke kan noteres i danmark fremfor i sverige jeg tror det er aktiesparekonto kultur og manglende fokus på de spændende små virksomheder på den danske børs iværksamf,negative,40,"Endnu en gang må man spørge sig selv om, hvorfor denne type virksomhed ikke kan noteres i Danmark fremfor i Sverige. Jeg tror det er aktiesparekonto, kultur og manglende fokus på de spændende små virksomheder på den danske børs #iværksamf",4,0.1398756272143272
45,45,da,0.9999934603551632,breaking news søren espersen df indrømmer at islam styrer og gir os hygge og dans han er rykket væk fra hans normale klamme racistiske og dumme opslag mod islam og indrømmer nu at islam også kan være dans og hygge se det ville være breaking,negative,47,"BREAKING NEWS!
Søren Espersen (DF), indrømmer, at Islam styrer og gir os hygge og dans. Han er rykket væk fra hans normale klamme, racistiske og dumme opslag mod Islam og indrømmer nu, at Islam også kan være dans og hygge.
Se, DET ville være BREAKING 😁😂

[LINK]",6,1.0
46,46,da,0.9999953124870008,godt med lidt staldtips til os der aldrig nåede på griku,positive,12,"Godt med lidt staldtips til os, der aldrig nåede på GRIKU 😀",0,0.4418162755244777
47,47,da,0.9999930631905782,to montenegrinske stjerner skifter til europæisk storklub,neutral,8,To montenegrinske stjerner skifter til europæisk storklub -,-1,0.1621836091483154
48,48,da,0.999996191971044,netop min tanke kan det være en slags happening der skal skabe opmærksomhed om misinformation på nettet før valgene,neutral,19,"Netop min tanke. Kan det være en slags happening, der skal skabe opmærksomhed om misinformation på nettet før valgene?",1,1.0
49,49,da,0.9999942590434366,hvordan sætter vi strøm til et grønnere danmark få svar fra og når vi inviterer til valgdebat sammen med d marts dkpol dkgreen dkenergi,neutral,27,"Hvordan sætter vi strøm til et grønnere Danmark? Få svar fra og @USER, når vi inviterer til valgdebat sammen med d. 25. marts ➤ #dkpol #dkgreen #dkenergi",10,1.0
50,50,da,0.9999922104737377,skål og fremragende navneskift,positive,4,"Skål, og fremragende navneskift",0,0.30836437791389654
51,51,da,0.9999925569674613,itunes er det in for iphone spørger sikkert dumt me hvordan anmelder jeg det med en samsung for selvfølgelig skal i have stjerner,positive,24,"ITunes er det in for iPhone?? Spørger sikkert dumt me hvordan anmelder jeg det med en Samsung?
For selvfølgelig skal i have 5 stjerner💛💙",0,0.2051450974460894
52,52,da,0.9999943562759432,tænk du går så meget op i at støtte løgne men det siger jo mere om dig end lærerne og eleverne,negative,21,Tænk du går så meget op i at støtte løgne men det siger jo mere om dig end lærerne og eleverne.,-1,0.1097681754997738
53,53,da,0.9999966315318048,det er helt ude i hampen df og regeringen har tilsyneladende ingen jordforbindelse mere udrejsecenteret kan df og regeringen kun holde sig selv ud tilsyneladende da man vil oprette en lejer på en ø som man så vil sørge for at der er så få afgange til som muligt det er sygt,negative,52,"Det er helt ude i hampen, DF og regeringen har tilsyneladende ingen jordforbindelse mere. Udrejsecenteret, kan DF og regeringen kun holde sig selv ud tilsyneladende, da man vil oprette en lejer på en ø, som man så vil sørge for at der er så få afgange til som muligt det er sygt",0,0.18798234965176056
54,54,da,0.9999962304408544,udsigt til nye besparelser i kommunens budget,neutral,7,Udsigt til nye besparelser i kommunens budget,8,0.7458180024598255
55,55,da,0.9999942803205502,desværre så kan de jo så nu bruge det som bevis på at kriminelle lømler sætter dagsordenen og blablabla for dem er det en win win og det er samfundet der taber,negative,32,"Desværre, så kan de jo så nu bruge det som bevis på at kriminelle lømler sætter dagsordenen og blablabla. For dem er det en win win og det er samfundet der taber",7,0.3347490937749006
56,57,da,0.9999942033982016,hele vores flygtningesystem fra efter anden verdenskrig fungerer stadig vi har i fn netop opdateret i vedtaget migrationspagt tak talop epvalg eudk ep dk dkpol,neutral,25,Hele vores flygtningesystem fra efter anden verdenskrig fungerer stadig. Vi har i FN netop opdateret i 2018 vedtaget migrationspagt. (Tak #talop) #epvalg19 #eudk #ep19dk #dkpol,2,0.3882223563642507
57,58,da,0.9999959463907968,alt for længe har homofobien fået lov at være en integreret del af sportsverdenen med fodbold i spidsen det er forrykt når børn og unge lærer at homofobisk jargon hører hjemme på stadion i klubben på banen og i,negative,39,"Alt for længe har homofobien fået lov at være en integreret del af sportsverdenen, med fodbold i spidsen. 

Det er forrykt når børn og unge lærer at homofobisk jargon hører hjemme på stadion, i klubben, på banen og i...",-1,0.025838136375824484
58,59,da,0.9999977530870132,jeg er ikke specielt uenig men to ting jeg vil ikke være med til at sætte lighedstegn ml sexarbejdere og kvinder og vi behøver slet ikke diskutere om sexkøb lever af og re producere undertrykkelse og ødelagte liv men jeg ser ikke et forbud som en løsning,negative,46,Jeg er ikke specielt uenig. Men to ting: Jeg vil ikke være med til at sætte lighedstegn ml. sexarbejdere og kvinder. Og vi behøver slet ikke diskutere om sexkøb lever af og re-producere undertrykkelse og ødelagte liv. Men jeg ser ikke et forbud som en løsning.,-1,0.026796412777837498
59,60,da,0.9999939142931668,æh hvor er de såkaldte højreradikale der er ikke n voldelig demonstration fra nogen højreradikale de seneste år nævn en det er en myte vi har en ekstrem voldelig venstrefløj som har taget side med islamisterne og for dem er alle normale personer højreradikale,negative,45,"æh, hvor er de såkaldte ""højreradikale""?

Der er ikke én voldelig demonstration fra nogen højreradikale de seneste 25 år!? nævn en?

Det er en myte, vi har en ekstrem voldelig venstrefløj, som har taget side med islamisterne, og for dem er alle ""normale"" personer højreradikale",-1,0.22947748313312016
60,61,da,0.9999959845596632,massiv kø efter uheld på køge bugt motorvejen,neutral,7,Massiv kø efter uheld på Køge Bugt-motorvejen,0,0.20141091516323206
61,62,da,0.8571389674726724,rødovre centrum michael jackson strategien som den hedder,negative,6,"Rødovre Centrum-Michael Jackson-strategien, som den hedder",0,1.0
62,63,da,0.9999943117779232,har du mon tænkt på at der er mennesker der arbejder og har brug for biler vi kan jo ikke allesammen leve af at dyrke grønsager i stuen for at få føden,negative,32,"Har du mon tænkt på at der er mennesker der arbejder og har brug for biler, vi kan jo ikke allesammen leve af at dyrke grønsager i stuen for at få føden",-1,0.19894449215904952
63,64,da,0.9999954877888524,centraliseringnejtak dkpol pinligt at lytte til vlak df de har ikke styr på noget ikke engang hvor mange ansatte der er i sundhedsvæsnet hvis man har udsultet regionerne i årevis nu tilfører midler som skal gå til nyt central akut og nyt it system virkelig borgernær,negative,47,"#CentraliseringNejTak #DKPOL
Pinligt at lytte til VLAK+ DF
De har ikke styr på noget, ikke engang hvor mange ansatte der er i sundhedsvæsnet. Hvis man har udsultet regionerne i årevis, nu tilfører midler, som skal gå til nyt central Akut 113 og nyt IT system, virkelig borgernær",8,1.0
64,65,da,0.9999952973423444,krimiromaner omdannes til tv serie med helsingør som omdrejningspunkt,neutral,8,"Krimiromaner omdannes til tv-serie med Helsingør som omdrejningspunkt,",0,0.32451699919648647
65,66,da,0.9999945128451018,sidder på skt knuds gymnasium og overværer retorik undervisning der sidder en hel klasse som ikke har lyst til at deltage i debatten på sociale medier for kampen er tabt på forhånd det er svært at være saglig når andre ikke er vi deltager kun i debatter for at få ret,negative,50,"Sidder på Skt. Knuds gymnasium og overværer retorik-undervisning, der sidder en hel klasse, som ikke har lyst til at deltage i debatten på sociale medier, for “kampen er tabt på forhånd” “det er svært at være saglig, når andre ikke er”. “vi deltager kun i debatter for at få ret”",7,0.8063040449968272
66,67,da,0.9999953927053208,begivenhedsrig første halvleg på både godt og ondt fodens scoring må varme enhver enhver cityfans hjerte desværre måtte kdb humpe ud af banen med noget der ligner en forstrækning mancityspurs pldk,positive,31,"Begivenhedsrig første halvleg på både godt og ondt. Fodens scoring må varme enhver enhver Cityfans hjerte. Desværre måtte KdB humpe ud af banen med noget der ligner en forstrækning. 
#ManCitySpurs #pldk",3,0.7811052785848358
67,68,da,0.9999965542465106,tersløse kirke er blevet vejkirke tersløse kirke er blevet en såkaldt vejkirke det indebærer at kirken året rundt kan besøges af turister og alle interesserede på følgende dage tirsdag onsdag torsdag kl,neutral,31,"Tersløse Kirke er blevet Vejkirke Tersløse Kirke er blevet en såkaldt Vejkirke. Det indebærer, at kirken året rundt kan besøges af turister og alle interesserede på følgende dage: Tirsdag-onsdag-torsdag kl. 8-15.",0,0.81326474745386
68,69,da,0.9999961217355856,df vil forbyde skolegang hvis opholdstilladelsen ryger,negative,7,DF vil forbyde skolegang hvis opholdstilladelsen ryger,5,0.6743814579484845
69,70,da,0.9999916320590678,fra skriver dkmedier,neutral,4,"fra skriver #dkmedier 
[LINK]",2,0.25572417493777394
70,71,da,0.99999584209028,det kan være lidt småsvært at være socialdemokrat og finde et parti der repræsenterer en i s danmark men det må da være komplet umulig at være liberal dkpol,negative,29,"Det kan være lidt småsvært at være socialdemokrat og finde et parti, der repræsenterer en i 2019's Danmark. Men det må da være komplet umulig at være liberal. #dkpol",-1,0.16736104027438606
71,72,da,0.9999943016688791,nu gør du et dumt meme politisk i m just here for the lolz d,neutral,14,Nu gør du et dumt meme politisk... I’m just here for the lolz :D,6,0.21836740322577675
72,73,da,0.9999966259459936,min pointe er at eu ikke er en afsondret tredjepart det er et fællesskab som danmark indgår i,neutral,18,"Min pointe er, at EU ikke er en afsondret tredjepart. Det er et fællesskab, som Danmark indgår i.",4,1.0
73,74,da,0.8571395694141413,hvad skal dit forbund hedde,neutral,5,Hvad skal dit forbund hedde?,0,0.3625109888729621
74,75,da,0.9999976391421886,ytringsfriheden giver mig så også lov til at gå ind i en synagoge og skrige heil hitler eller at gå ind på cosy bar og skrige dø homosvin men er det det der er meningen med ytringsfriheden,negative,37,"Ytringsfriheden giver mig så også lov til at gå ind i en synagoge og skrige “heil Hitler”, eller at gå ind på Cosy bar og skrige “dø homosvin”. Men er det det der er meningen med ytringsfriheden?",6,0.6380523818895698
75,76,da,0.999996936051342,tv værten abdel aziz mahmoud har købt,neutral,7,"Tv-værten Abdel Aziz Mahmoud har købt [LINK],",2,0.17860467755251258
76,77,da,0.9999972992682212,mindst aflyste afgange letbaneproblemer fortsætter torsdag,neutral,7,Mindst 20 aflyste afgange: Letbaneproblemer fortsætter torsdag,-1,0.15728846180429962
77,78,da,0.9999954856758844,spar rejseforsikringen det er trods alt kun meget få der rammes af sygdom og ulykker på ferien dkpol dkmedier,neutral,19,"Spar rejseforsikringen, det er trods alt kun meget få der rammes af sygdom og ulykker på ferien #dkpol #dkmedier",2,0.3789856958943385
78,79,da,0.6135733258136675,men det er jo problematisk uansett om det er billedlig ment det virker jo unektelig som barnet ikke har det så bra she can see carbon dioxide with the naked eye she sees how it flows out of chimneys and changes the atmosphere in a landfill,negative,47,"Men det er jo problematisk, uansett om det er billedlig ment - det virker jo unektelig som barnet ikke har det så bra?
“She can see carbon dioxide with the naked eye. She sees how it flows out of chimneys and changes the atmosphere in a landfill.”",0,0.7670550356101755
79,80,da,0.9999931951295686,udsolgt til derby en dejlig nyhed som vi er glade og stolte over at kunne præsentere men vi ved erfaringsmæssigt at der kan komme et antal billetter retur så skriv dig på derby ventelisten hvis du vil have muligheden fcklive fckbif,positive,40,"UDSOLGT TIL DERBY🔥 En dejlig nyhed, som vi er glade og stolte over at kunne præsentere. Men vi ved erfaringsmæssigt, at der kan komme et antal billetter retur, så skriv dig på DERBY-ventelisten, hvis du vil have muligheden #fcklive #fckbif",0,0.4178145328736259
80,81,da,0.7142840615454229,jeg er muligvis sent ude men hvordan gik går valget,positive,9,"Jeg er muligvis sent ude, men. Hvordan gik/går valget?",-1,0.22863607646192446
81,82,da,0.999995533617278,jeg kan huske da en justitsminister blev stillet for en rigsret borgerlig sankesæt er det er smart at snyde det er rigtigt dumt at blive opdaget lov og ret gælder for borgerne ikke borgerlige politikere et borgerligt væsen er i sin grundvold uhæderligt,negative,43,"Jeg kan huske, da en Justitsminister blev stillet for en rigsret.
Borgerlig sankesæt er 
""Det er smart at snyde, det er rigtigt dumt at blive opdaget."" LOV og RET gælder for borgerne, ikke borgerlige politikere.
Et borgerligt væsen er i sin grundvold uhæderligt.",1,1.0
82,83,da,0.9999949042990576,tror du jeg er åndsvag den der borgerliggørelse af det yderste højre er alt for gennemskuelig og enormt trættende jeg hopper fra her og fokuserer på kærligheden du skulle prøve d t,negative,31,"Tror du, jeg er åndsvag? Den der borgerliggørelse af det yderste højre, er alt for gennemskuelig og enormt trættende. Jeg hopper fra her, og fokuserer på kærligheden. Du skulle prøve dét.",1,0.678142651524693
83,84,da,0.99994892446757,når man skal beskrive ungdommen for morfar,neutral,7,Når man skal beskrive ungdommen for morfar,0,0.297321108350696
84,85,da,0.9999926323138502,og hvad synes du så søren om måden bager fik de på,negative,13,"Og hvad synes du så, Søren, om måden Bager fik de 100.000 på?",0,0.29860226104744764
85,86,da,0.9999938128941628,i påsken er jeg på sidelinien her tors fckfcm fre obfcn søn viborgff vs næstved søn vbagf man rfcaab man fcmbif sldk nordicbetligaen,neutral,23,"I påsken er jeg på sidelinien her…
Tors #fckfcm
Fre #obfcn
Søn ViborgFF vs Næstved
Søn #vbagf
Man #rfcaab
Man #fcmbif
#sldk #NordicBetLigaen",-1,0.2054380909881641
86,87,da,0.9999946389169232,intet ondt herfra det er muligt at du har ret jeg har bare ikke kunnet finde den definition men jeg har heller ikke brugt old school ordbøger jeg formoder ikke at mange dyr ud over mennesket parrer sig med andet formål end reproduktion jeg har heller ikke hørt,positive,50,"Intet ondt herfra 😊 Det er muligt, at du har ret. Jeg har bare ikke kunnet finde den definition, men jeg har heller ikke brugt old school ordbøger. Jeg formoder ikke, at mange dyr ud over mennesket parrer sig med andet formål end reproduktion. Jeg har heller ikke hørt ...",0,1.0
